0.00947575,0.01,0.27
0.089394,0.47,1
0.000611692,0.05,0.09
0.44937,0.09,0.87
0.0663242,0.81,0.87
0.586195,0.72,0.92
0.689117,0.68,0.27
0.766643,0.88,0.88
0.835052,0.77,0.52
0.468312,0.6,0.7
0.260098,0.06,0.41
0.442,0.12,0.56
0,0.76,0
0.419726,0.28,0.64
0.215712,0.36,0.23
0.603932,0.42,0.31
0.46552,0.04,0.71
0.572728,0.68,0.25
0.0136281,0.96,0.08
0.146821,0.3,0.93
0.00432772,0.97,0.71
1,0.38,0.54
0.557206,0.38,0.31
5.84E-05,0.31,0.03
0.154434,0.1,0.98
0.571562,0.15,0.81
0.00446509,0.43,0.08
0.449408,0.03,0.77
0.147268,0.61,0.94
0.284135,0.52,0.22
0.732044,0.5,0.76
0.000281073,0.11,0.06
0.0262564,0.82,0.1
0.0077196,0.04,0.18
0.89397,0.84,0.91
1.11E-05,0.3,0.02
0,0.34,0
0.73384,0.79,0.26
4.47E-05,0.85,0.02
0.877651,0.86,0.66
0.87287,0.82,0.81
1,0.42,0.43
0.0362032,0.7,0.9
0.603661,0.21,0.42
0.32142,0.01,0.7
0.345063,0.67,0.81
0.484581,0.83,0.48
1,0.62,0.49
4.50E-05,0.25,0.03
0.00324952,0.77,0.44
0.481376,0.95,0.62
0.0511245,1,0.11
0.137863,0.14,0.27
0.591267,0.24,0.44
0.022476,0.9,0.6
0.125631,0.35,0.2
0.600275,0.23,0.71
0.776585,0.91,0.25
0.00208771,0.96,0.05
0.018907,0.65,0.1
0.723618,0.92,0.34
0.0480447,0.12,0.66
0.0425836,0.29,0.16
0.343721,0.15,0.86
0.712835,0.8,0.79
1,0.6,0.55
0.00319454,0.5,0.07
0.102427,0.41,0.18
0.00585917,0.14,0.12
0.241488,0.82,0.58
0.774206,0.67,0.29
0.77041,0.66,0.97
1,0.38,0.51
1,0.57,0.59
0.00196112,0.55,0.06
0.0223185,0.22,0.83
0.0644578,0.21,0.83
0.00195187,0.1,0.1
0.00894062,0.51,0.09
1,0.37,0.61
0.0135501,0.38,0.11
0.802966,1,0.88
0.159478,0.24,0.24
0.0275113,0.2,0.16
1,0.55,0.5
0,0.64,0
0.00897999,0.72,0.08
0.743406,0.98,0.67
0.83733,0.74,0.33
0.744406,0.91,0.64
0.16989,0.88,0.45
0.154028,0.69,0.88
0.216828,0.58,0.69
0.520238,0.19,1
0.519422,0.28,0.45
0.50793,0.14,0.52
0.800666,0.63,0.31
0.0430908,0.36,0.15
0.537177,0.79,0.23
0.279528,0.24,0.97
